url,actual_label,predicted_label,error_type,phishing_score,url_length,hostname_length,path_length,query_length,path_depth,query_parameter_count,subdomain_count,uses_https,has_ip_host,has_port,has_query,digit_count,special_char_count,digit_ratio,special_char_ratio,hostname_digit_ratio,entropy,suspicious_keyword_count
https://www.genesis-foundation.org/,0,1,false_positive,0.8397730039175785,35,26,1,0,0,0,1,1,0,0,0,0,7,0.0,0.2,0.0,4.085588016574086,0
https://dsagtrjntr.shop/,1,0,false_negative,0.16688231345555996,24,15,1,0,0,0,0,1,0,0,0,0,5,0.0,0.20833333333333334,0.0,3.605388542207534,0
https://www.lifeandbrain.com/,0,1,false_positive,0.8298829422300716,29,20,1,0,0,0,1,1,0,0,0,0,6,0.0,0.20689655172413793,0.0,4.1852301329094015,0
https://www.audiofilemagazine.com/,0,1,false_positive,0.8416721572663763,34,25,1,0,0,0,1,1,0,0,0,0,6,0.0,0.17647058823529413,0.0,4.2339466645252255,0
https://biwako-seikei.jp/,0,1,false_positive,0.7536490082711664,25,16,1,0,0,0,0,1,0,0,0,0,6,0.0,0.24,0.0,3.863465189601646,0
https://www.newburghlibrary.org/,0,1,false_positive,0.6504887104031047,32,23,1,0,0,0,1,1,0,0,0,0,6,0.0,0.1875,0.0,4.038909765557392,0
https://www.duke-energy.com/,0,1,false_positive,0.6843298222448122,28,19,1,0,0,0,1,1,0,0,0,0,7,0.0,0.25,0.0,4.155045546825804,0
https://punjabmedicalcentrepvtltd.enic.pk/,0,1,false_positive,0.8884505733565469,42,33,1,0,0,0,1,1,0,0,0,0,6,0.0,0.14285714285714285,0.0,4.157214970851922,0
http://ssamzigil.com/memx/force_login/,1,0,false_negative,0.4143209722401383,38,13,18,0,2,0,0,0,0,0,0,0,8,0.0,0.21052631578947367,0.0,4.165837632423487,1
https://www.hospicesavannah.org/,0,1,false_positive,0.5919609618934167,32,23,1,0,0,0,1,1,0,0,0,0,6,0.0,0.1875,0.0,3.944548827786958,0
https://client-locker.com,1,0,false_negative,0.147143497551903,25,17,0,0,0,0,0,1,0,0,0,0,5,0.0,0.2,0.0,3.9434651896016457,0
https://www.axionbiosystems.com/,0,1,false_positive,0.6034778146706276,32,23,1,0,0,0,1,1,0,0,0,0,6,0.0,0.1875,0.0,3.9681390622295662,0
https://www.herbanaturalle.com/,0,1,false_positive,0.6338388533190669,31,22,1,0,0,0,1,1,0,0,0,0,6,0.0,0.1935483870967742,0.0,4.018081793978685,0
https://www.gusfoundation.org/,0,1,false_positive,0.544374487356172,30,21,1,0,0,0,1,1,0,0,0,0,6,0.0,0.2,0.0,3.9395722619867226,0
https://www.keliakialiitto.fi/liitto/in_english/,0,1,false_positive,0.6000221972210383,48,21,19,0,2,0,1,1,0,0,0,0,9,0.0,0.1875,0.0,3.8265535841814056,0
https://www.bundesverband-glaukom.de/,0,1,false_positive,0.9016504750175932,37,28,1,0,0,0,1,1,0,0,0,0,7,0.0,0.1891891891891892,0.0,4.317033095124793,0
https://www.veteranhomestead.org/,0,1,false_positive,0.5637708475353794,33,24,1,0,0,0,1,1,0,0,0,0,6,0.0,0.18181818181818182,0.0,3.907734270742486,0
https://curaden-dentaldepot.ch/,0,1,false_positive,0.8269281914887587,31,22,1,0,0,0,0,1,0,0,0,0,6,0.0,0.1935483870967742,0.0,3.9134007456613773,0
https://www.newportfestivals.org/,0,1,false_positive,0.6301996413847314,33,24,1,0,0,0,1,1,0,0,0,0,6,0.0,0.18181818181818182,0.0,3.968340331348546,0
https://www.globalfamilydoctor.com/,0,1,false_positive,0.8090671976748456,35,26,1,0,0,0,1,1,0,0,0,0,6,0.0,0.17142857142857143,0.0,4.12872444526914,0
https://plasma-clean.com/,0,1,false_positive,0.7220359190118439,25,16,1,0,0,0,0,1,0,0,0,0,6,0.0,0.24,0.0,3.7834651896016465,0
https://refundservicedlsney.com/,1,0,false_negative,0.48546450909998756,32,23,1,0,0,0,0,1,0,0,0,0,5,0.0,0.15625,0.0,4.140319531114783,0
https://www.blackfynn.com/,0,1,false_positive,0.6387911240967068,26,17,1,0,0,0,1,1,0,0,0,0,6,0.0,0.23076923076923078,0.0,4.026986833359286,0
https://savebyseva.org/en/,0,1,false_positive,0.6493350011071672,26,14,4,0,1,0,0,1,0,0,0,0,6,0.0,0.23076923076923078,0.0,3.796217602590055,0
https://dbsq.pages.dev/,1,0,false_negative,0.029443890561765197,23,14,1,0,0,0,1,1,0,0,0,0,6,0.0,0.2608695652173913,0.0,3.6753108689123644,0
